combo,n,share_of_core_sample,share_of_new_core,z_total_bl_mean,z_cog_bl_mean,father_edu_mean,mother_edu_mean,family_econ_mean,delta_total_mean,delta_math_mean,delta_chinese_mean,delta_english_mean
all_three,118,0.03056203056203056,0.14285714285714285,0.19023472,0.27701786,3.587719298245614,3.1120689655172415,2.017543859649123,0.16866398707245955,0.20938393276975853,0.09929414868462064,0.19258801501137596
chinese_english,31,0.00802900802900803,0.03753026634382567,0.33610663,0.21759409,3.3870967741935485,3.161290322580645,1.935483870967742,0.1160765702872088,0.08409494866865269,0.11817011647373606,0.14596466229035657
chinese_only,57,0.014763014763014764,0.06900726392251816,0.23703776,0.27272594,3.0526315789473686,2.7857142857142856,2.0714285714285716,-0.0035354340644143806,-7.632971546941583e-06,0.07404690277033098,-0.08464558625290398
english_only,158,0.04092204092204092,0.19128329297820823,0.16082755,0.19165954,3.3223684210526314,3.019867549668874,2.052980132450331,0.23595250608310864,0.28132843352785913,0.16654567417713245,0.2599834084048297
math_chinese,25,0.006475006475006475,0.03026634382566586,0.044361047,0.083931915,3.875,3.4,2.04,0.2202094142397142,0.07556798661870598,0.2779617199960892,0.3070985278714559
math_english,163,0.042217042217042214,0.1973365617433414,0.21076985,0.17204474,3.3540372670807455,3.171974522292994,2.1059602649006623,0.15215283773708327,0.19670013318324148,0.11396627856354827,0.1391810408157679
math_only,274,0.07096607096607097,0.33171912832929784,0.069718,0.06280912,3.3717472118959106,2.9592592592592593,2.0421455938697317,0.1368325079183705,0.20834801441302359,0.07612403847828689,0.12754829891709007
never_core,3035,0.786065786065786,,-0.018904554,-0.08830815,2.7704149933065594,2.4076305220883536,1.871191135734072,-0.09288785629444067,-0.07419456085773128,-0.038713009773124196,-0.1641251925412574
